state,status
Alabama,Never been
Alaska ,Never been
Arizona,Visit
Arkansas,Never been
California,Visit
Colorado,Never been
Connecticut,Home
Delaware,Visit
Florida,Visit
Georgia,Visit
Hawaii,Never been
Idaho,Never been
Illinois,Visit
Indiana,Visit
Iowa,Visit
Kansas,Visit
Kentucky,Home
Louisiana,Visit
Maine,Visit
Maryland,Visit
Massachusetts,Visit
Michigan,Never been
Minnesota,Home
Mississippi,Never been
Missouri,Visit
Montana,Visit
Nebraska,Visit
Nevada,Visit
New Hampshire,Visit
New Jersey,Visit
New Mexico,Visit
New York,Visit
North Carolina,Visit
North Dakota,Visit
Ohio,Visit
Oklahoma,Visit
Oregon,Visit
Pennsylvania,Visit
Rhode Island,Visit
South Carolina,Never been
South Dakota,Never been
Tennessee,Visit
Texas,Visit
Utah,Never been
Vermont,Visit
Virginia,Visit
Washington,Visit
West Virginia,Visit
Wisconsin,Visit
Wyoming,Never been
DC,Visit
